Date,City,State,Latitude,Longitude,Total shot,Number killed,Number wounded,Assault weapon OR high-capacity magazine,Prohibited shooter,Killed intimate partner or family,Dangerous warning signs,Narrative,Last updated
11/1/2009,Mount Airy,NC,36.4893683,-80.6121907,4,4,0,Yes,Yes,No,Yes,A shooter fatally shot four people outside a television store before eventually surrendering to police.,2021-06-02T14:41:58.000Z
11/5/2009,Fort Hood,TX,31.1950059,-97.743503,45,13,32,Yes,No,No,No,A shooter fatally shot 13 and wounded 32 soldiers during an attack at the Fort Hood army base.,2021-06-02T14:41:58.000Z
11/9/2009,Oklahoma City,OK,35.4684,-97.5212,4,4,0,No,Yes,No,No,Multiple shooters fatally shot four people in a house before setting the house on fire. Two of the victims were pregnant. Four men have been convicted for planning and committing the crime. The shooting was tied to a drug-related robbery and involved gang members.,2021-06-02T14:41:58.000Z
11/12/2009,Pearcy,AR,34.4286,-93.2897,5,5,0,No,No,No,Yes,"Three shooters fatally shot five people in connection with a robbery. Surviving family members reported missing guns, tires and rims, televisions, and two checkbooks. Several days later, one of the shooters was shot and killed by police officers as they attempted to enter his hotel room; one officer was shot and injured in the exchange. The other two shooters were arrested during traffic stops.",2021-06-02T14:41:58.000Z
11/26/2009,Jupiter,FL,26.9188313,-80.1121129,6,4,2,No,Yes,Yes,No,"A shooter fatally shot his two sisters, his aunt, and his 6-year-old cousin during a Thanksgiving celebration. Two other family members were shot and injured. The shooter fled the scene and eluded capture for over a month before police arrested him.",2021-06-02T14:41:58.000Z
11/28/2009,Osage,KS,38.7504862,-95.8525965,4,4,0,Yes,No,Yes,Yes,"A shooter fatally shot his estranged wife, her grandmother, and their two daughters in the grandmother’s home.",2021-06-02T14:41:58.000Z
11/29/2009,Lakewood,WA,47.1528883,-122.4694522,4,4,0,Yes,Yes,No,No,A shooter fatally shot four police officers in a coffee shop. He eluded capture for two days before being shot and killed by police.,2021-06-02T14:41:58.000Z
12/3/2009,Madison,WI,43.1081714,-89.5540708,4,4,0,No,Yes,Yes,Yes,"A shooter fatally shot two women and each of their infant daughters. The shooter was involved in paternity disputes with both women. Approximately four days after the shootings, the shooter was found dead in his car with a self-inflicted gunshot wound.",2021-06-02T14:41:58.000Z
1/16/2010,Bellville,TX,30.0388274,-96.1958491,5,5,0,No,No,Yes,Yes,"A shooter fatally shot his mother, stepfather, sister, brother, and niece after a household argument.",2021-06-02T14:41:58.000Z
1/19/2010,Appomattox,VA,37.3552,-78.8229,8,8,0,No,No,Yes,No,"A shooter fatally shot 8 family members and acquaintances, including his sister, brother-in-law, niece, and nephew. He then fired at responding police officers before surrendering.",2021-06-02T14:41:58.000Z
3/26/2010,New Orleans,LA,29.9506,-90.0749,4,4,0,Yes,Yes,Yes,Yes,"A shooter fatally shot his uncle’s girlfriend, her two children, and her sister in their home.",2021-06-02T14:41:58.000Z
3/30/2010,Washington,DC,38.82298,-77.0094644,10,4,6,Yes,Yes,No,Yes,"Four assailants shot 10 people, killing four and wounding six. The shootings were retaliation for an earlier shooting.",2021-06-02T14:41:58.000Z
4/3/2010,Los Angeles,CA,34.1578673,-118.38943,6,4,2,No,No,No,No,A shooter fatally shot four and injured two at a San Fernando Valley restaurant after a dispute with other patrons. He was indicted in a separate investigation for selling firearms without a license and possessing a firearm with the serial number removed.,2021-06-02T14:41:58.000Z
4/14/2010,Chicago,IL,41.7612879,-87.6966486,6,5,1,No,Yes,Yes,Yes,"A shooter fatally shot his mother, his pregnant wife, their infant son, and two of his nieces in his sister’s home. He also shot and injured his nephew. The shooter was apprehended by police; investigators determined that he had converted to Islam in prison and committed the shootings because his family members would not go along with his conversion.",2021-06-02T14:41:58.000Z
6/6/2010,Hialeah,FL,25.8675643,-80.2728595,7,4,3,No,No,Yes,Under review,A shooter fatally shot his wife and three other women at a restaurant before fatally shooting himself.,2021-06-02T14:42:53.000Z
8/3/2010,Manchester,CT,41.7706,-72.5208,10,8,2,Yes,No,No,Yes,"A shooter fatally shot 8 of his coworkers at his place of employment, Hartford Distributors Inc; two other coworkers were seriously injured. The shooter proceeded to shoot and kill himself as police officers closed in. The shooting occurred immediately after the shooter was forced to resign from his job as a truck driver; management had discovered evidence that he was stealing product from his delivery truck.",2021-06-02T14:41:58.000Z
8/6/2010,Lanham,MD,38.9648,-76.8402,4,4,0,No,No,No,No,"A shooter fatally shot two children, their mother, and their paternal aunt in the home where they resided. Police say the shooter was involved in drug trafficking and the victims owed him money. The shooter’s girlfriend helped commit the crime by blocking the door to prevent anyone from escaping.",2021-06-02T14:41:58.000Z
8/14/2010,Buffalo,NY,42.8876,-78.8793,8,4,4,No,No,No,No,"A shooter opened fire on a group of people outside a restaurant, killing four and wounding four others.",2021-06-02T14:41:58.000Z
8/29/2010,Lake Havasu,AZ,34.4961,-114.3489,5,5,0,No,Yes,Yes,Yes,"A shooter fatally shot his ex-girlfriend, her new boyfriend, and three other adults at a Lake Havasu City house. The house belonged to his ex-girlfriend, and she lived there with their 4-year-old daughter and 1-year-old son. The shooter proceeded to drive the two children to his sister’s house before fatally shooting himself in his car.",2021-06-02T14:41:58.000Z
9/2/2010,Chicago,IL,41.8832,-87.6323,4,4,0,No,No,No,No,A shooter allegedly shot and killed four people in a garage. Officials believe he was part of a drug-trafficking crew that had been involved in at least 10 killings.,2021-06-02T14:41:58.000Z
9/10/2010,Jackson,KY,37.5576,-83.3815,5,5,0,No,No,Yes,Yes,"A shooter fatally shot his wife, his step-daughter, and three neighbors following a domestic dispute with his wife. The shooter then fatally shot himself. The shootings took place between three trailer homes.",2021-06-02T14:41:58.000Z
9/27/2010,Riviera Beach,FL,26.7834,-80.0548,6,5,1,No,Yes,Yes,Yes,"A shooter fatally shot his estranged wife and four of his stepchildren, ages 10, 11, 13, and 14. He shot and injured another one of his stepchildren, 15. As police arrived on the scene, Dell fatally shot himself.",2021-06-02T14:41:58.000Z
9/28/2010,Boston,MA,42.3588,-71.0567,5,4,1,Yes,Yes,No,No,"A shooter fatally shot four people, including a 2-year-old boy, and wounded one more. The shooting occurred after a drug-related robbery.",2021-06-02T14:41:58.000Z
1/8/2011,Tucson,AZ,32.3367887,-110.9795511,19,6,13,Yes,No,No,Under review,"A shooter attacked a constituent event hosted by Congresswoman Gabrielle Giffords, killing six and wounding 13, including Giffords. He was tackled and disarmed by several bystanders while he attempted to reload.",2021-06-02T14:44:05.000Z
1/28/2011,Minot,ND,48.2355,-101.296,4,4,0,No,Yes,Yes,Yes,"A shooter fatally shot his ex-girlfriend in her home; he then fatally shot her brother, her mother, and her mother’s boyfriend at a nearby home. The gun was never recovered.",2021-06-02T14:41:58.000Z
2/11/2011,Willowbrook,CA,33.9143,-118.2307,4,4,0,No,No,No,Yes,Three brothers and their cousin were shot and killed by an unknown assailant on the backyard patio of their home.,2021-06-02T14:41:58.000Z
4/16/2011,Oak Harbor,OH,41.5076,-83.145,4,4,0,No,No,Yes,No,"A shooter fatally shot his wife and their three children – ages 1, 2, and 4 – before fatally shooting himself. The shooting took place in the family’s home.",2021-06-02T14:41:58.000Z
5/11/2011,Ammon,ID,43.4787,-111.9642,4,4,0,No,No,Yes,Yes,"A shooter fatally shot his two infant children, their mother, and her sister before setting fire to the house and fatally shooting himself. He had separated from the victim several months before the incident.",2021-06-02T14:41:58.000Z
6/2/2011,Yuma,AZ,32.7223,-114.6208,6,5,1,No,No,Yes,Yes,"A shooter fatally shot his ex-wife, her lawyer, and three of her friends. He shot and injured another of his ex-wife’s friends. Ultimately, the shooter fatally shot himself.",2021-06-02T14:41:58.000Z
6/19/2011,Medford,NY,40.8176,-72.9998,4,4,0,No,No,No,Yes,"A shooter fatally shot four people at a pharmacy, Haven Drugs, and stole thousands of pain pills, mostly hydrocodone, before fleeing in a vehicle. His wife participated in the robbery as a driver and lookout.",2021-06-02T14:41:58.000Z
6/23/2011,Grand Prairie,TX,32.7454,-97.0035,9,5,4,No,No,Yes,Yes,A shooter fatally shot his wife and four of her family members at his daughter’s birthday party before fatally shooting himself. Four others were shot and wounded in the incident.,2021-06-02T14:41:58.000Z
7/3/2011,Wagener,SC,33.6525,-81.3614,4,4,0,No,No,Yes,Yes,"A shooter fatally shot his wife, her twin sister, their mother, and his ex-girlfriend in two different residences. He was then confronted by law enforcement and fatally shot himself.",2021-06-02T14:41:58.000Z
7/7/2011,Wheatland,WY,42.0543,-104.9532,5,4,1,No,No,Yes,Yes,"A shooter fatally shot his three sons and his brother, and shot and injured his wife before surrendering to police. His sons were 11, 13, and 18. His wife later reported he had become upset because he wanted to keep the curtains of their home drawn to prevent the neighbors from looking inside.",2021-06-02T14:41:58.000Z
7/7/2011,Grand Rapids,MI,42.9654,-85.6702,9,7,2,Yes,Yes,Yes,Yes,"A shooter fatally shot seven people between two homes, including his ex-girlfriend, wife, and their daughter. He fatally shot himself after leading police on a car chase, and taking three hostages at a nearby home.",2021-06-02T14:41:58.000Z
8/5/2011,Marion County,FL,29.0083,-82.1832,4,4,0,No,No,Yes,No,"A shooter shot and killed his girlfriend, her mother, and his two children who lived in the house. He then set the house on fire. The shooter reportedly told a friend that he had smoked synthetic marijuana laced with cocaine before the shooting.",2021-06-02T14:41:58.000Z
8/7/2011,Copley Township,OH,40.4155,-81.6066209,8,7,1,No,No,Yes,No,"A shooter fatally shot seven of his girlfriend’s neighbors and family members, and shot and wounded his girlfriend. He was fatally shot by a responding police officer.",2021-06-02T14:41:58.000Z
8/27/2011,Chesterfield,VA,37.3745,-77.5078,6,4,2,No,No,Yes,No,"A shooter fatally shot his ex-wife, her boyfriend and his son at a home. He then went to another home and fatally shot his former mother-in-law. As police chased him, he fired at several officers, wounding two. He then proceeded to fatally shoot himself.",2021-06-02T14:41:58.000Z
9/6/2011,Monongalia County,WV,39.4623,-80.2185,6,5,1,No,Yes,No,Yes,"A shooter fatally shot five people in a rural West Virginia home. Fleeing from police, he shot and injured a gas station attendant and eventually fatally shot himself.",2021-06-02T14:41:58.000Z
9/6/2011,Carson City,NV,39.1645,-119.7669,11,4,7,Yes,No,No,Yes,"A shooter fatally shot four people at an IHOP restaurant, including three National Guard members, before fatally shooting himself. Seven others were shot and wounded.",2021-06-02T14:41:58.000Z
9/25/2011,Laurel,IN,39.5006,-85.1681,5,5,0,No,Yes,No,Yes,"A shooter killed a man, the man’s estranged wife, their two children, and one of their neighbors. The murdered father had sold the prescription pain-reliever Oxycontin to the shooter in the past, and on the day of the shooting they argued over the terms of the sale.",2021-06-02T14:41:58.000Z
10/12/2011,Seal Beach,CA,33.7414,-118.1047,9,8,1,No,No,Yes,No,"A shooter fatally shot eight people, including his ex-wife, and injured one more at a hair salon.",2021-06-02T14:41:58.000Z
10/14/2011,Liberty,SC,34.7873,-82.6963,4,4,0,No,No,Yes,No,"A shooter fatally shot her ex-husband, their two sons, and her stepmother. She admitted that she had murdered her family members so that she could collect $700,000 in life insurance policies.",2021-06-02T14:41:58.000Z
11/20/2011,Greensboro,NC,35.9932712,-79.7938,6,5,1,No,No,Yes,No,"A shooter fatally shot five children, shot and injured a man, and fatally shot herself in a shooting spree. The first shooting took place at the shooter’s home, where she fatally shot her older son, his girlfriend, a niece, and a nephew. The second shooting took place in the parking lot of the Guilford Technical Community College Aviation Center, where the shooter shot and injured a married man she had been having an affair with. Finally, the shooter went to pick up her younger son from a sleepover, and fatally shot him in the car, before fatally shooting herself.",2021-06-02T14:41:58.000Z
11/30/2011,Bay City,TX,28.9818,-95.97,5,4,1,No,Yes,Yes,Yes,"A shooter fatally shot his four children, ages 2 to 5, and shot and injured his wife, before fatally shooting himself.",2021-06-02T14:41:58.000Z
12/15/2011,Gargatha,VA,37.802,-75.5984,4,4,0,No,No,Yes,No,"A shooter fatally shot two of his children, their mother, and the man they were living with before fatally shooting himself. The shooter was reportedly in a custody dispute with the woman at the time of her death.",2021-06-02T14:41:58.000Z
12/16/2011,Emington,IL,40.9695,-88.3574,4,4,0,No,No,Yes,No,A shooter fatally shot her boyfriend and her three children before fatally shooting herself in the backyard of their home.,2021-06-02T14:41:58.000Z
12/25/2011,Grapevine,TX,32.9398,-97.0387,6,6,0,No,No,Yes,No,"A shooter fatally shot his estranged wife, two children, and three other family members as they opened their Christmas presents. He then fatally shot himself.",2021-06-02T14:41:58.000Z
1/17/2012,Villa Park,IL,41.8898,-87.9776,4,4,0,No,Yes,Yes,Yes,"A shooter fatally shot his girlfriend, her two sons, and her niece while they slept. After leaving the scene of the crime he fatally shot himself.",2021-06-02T14:41:58.000Z
1/29/2012,Birmingham,AL,33.5228,-86.8077,5,5,0,No,Yes,No,No,"During an attempted robbery at a home, three shooters fatally shot five men.",2021-06-02T14:41:58.000Z
2/20/2012,Norcross,GA,33.9418,-84.2121,4,4,0,No,No,Yes,No,A shooter fatally shot two of his sisters and both of their husbands before fatally shooting himself. The shooting took place in a health spa which the shooter had invested in.,2021-06-02T14:41:58.000Z
4/2/2012,Oakland,CA,37.8048,-122.2724,10,7,3,No,No,No,No,"A shooter shot and killed seven people, and injured three more, at Oikos University, a Christian college affiliated with a Korean-American church, where he had formerly been a student.",2021-06-02T14:41:58.000Z
5/2/2012,Gilbert,AZ,33.3307,-111.7903,4,4,0,Yes,No,Yes,Yes,"A shooter fatally shot four people including his girlfriend, her daughter, and her granddaughter, before fatally shooting himself. The shooter was a former member of the US Marine Corps, and a founder of a border militia group. At the time of the incident, he was running for the office of Pinal County Sheriff.",2021-06-02T14:41:58.000Z
5/15/2012,Port St. John,FL,28.4762,-80.7885,4,4,0,No,No,Yes,No,"A shooter fatally shot her four children – ages 12, 13, 15, and 17 – before fatally shooting herself. The shooting took place in the family’s home.",2021-06-02T14:41:58.000Z
5/19/2012,Leivasy,WV,38.161,-80.6911,4,4,0,No,Yes,No,Yes,"A shooter fatally shot a man, his girlfriend, and his two children after a dispute over a debt for drugs.",2021-06-02T14:41:58.000Z
5/20/2012,Seattle,WA,47.6032,-122.3302,6,5,1,No,No,No,Yes,"A shooter fatally shot four people and wounded one in a restaurant. Less than an hour later, he fatally shot a woman in a parking lot, stealing her car. Later in the afternoon, as police officers closed in on him, the shooter shot and killed himself.",2021-06-02T14:41:58.000Z
6/2/2012,Tempe,AZ,33.4255,-111.9412,4,4,0,No,No,Yes,No,"A shooter fatally shot his wife and three children inside of their home. He then drove the bodies to a location in the Vekol Valley desert, where he lit the car on fire and fatally shot himself.",2021-06-02T14:41:58.000Z
7/6/2012,Newton Falls,OH,41.1863,-80.9705,4,4,0,No,No,Yes,Yes,"A shooter fatally shot his girlfriend, another couple, and their son in two separate shootings. He was then cornered by police and fatally shot himself. The shooter was allegedly a heavy user of illegally obtained prescription drugs, and thought that his girlfriend and the man he killed were stealing pills from him.",2021-06-02T14:41:58.000Z
7/20/2012,Aurora,CO,39.7112,-104.8193,82,12,70,Yes,No,No,Yes,"A shooter entered a suburban movie theater through an emergency exit and detonated multiple smoke bombs during a midnight screening of the new Batman movie. He then fired at moviegoers, fatally shooting 12 and injuring 70. He was apprehended by police while in his car. ",2021-06-02T14:41:58.000Z
8/5/2012,Oak Creek,WI,42.8851,-87.9083,10,7,3,Yes,No,No,No,"A shooter fatally shot seven people at a Sikh temple and wounded two others, including a responding police officer, before fatally shooting himself. The FBI investigated the shooting as a possible domestic terrorism incident. The shooter had various ties white supremacist hate groups, including being the leader of a racist white power band.",2022-09-06T16:57:07.000Z
9/27/2012,Minneapolis,MN,44.9774,-93.2643,8,6,2,Yes,No,No,No,A shooter fatally shot six people and shot and injured two more at a signage business from which he was fired earlier in the day. He then fatally shot himself.,2021-06-02T14:41:58.000Z
11/18/2012,New Town,ND,47.9795,-102.4932,4,4,0,No,Yes,No,Yes,"A shooter fatally shot a woman and her three grandchildren in their home on Fort Berthold Indian Reservation. When confronted by police, he stabbed himself and died of his injuries.",2021-06-02T14:41:58.000Z
12/2/2012,Northridge,CA,34.2282,-118.5357,4,4,0,No,Yes,No,Yes,A shooter fatally shot four people outside a boarding house in the Granada Hills neighborhood of Los Angeles County. The attack reportedly began as an attempted robbery.,2021-06-02T14:41:58.000Z
12/4/2012,Detroit,MI,42.4417462,-82.9709965,4,4,0,No,No,No,Under review,"Three adults and one minor were shot to death in a house on the east side of the city before a fire broke out, apparently set by the shooter. There are no reports of arrests or suspects.",2021-06-02T14:44:05.000Z
12/8/2012,Tule River Reservation,CA,36.0383396,-118.8632294,6,4,2,No,Yes,Yes,Yes,"A shooter fatally shot his mother and two uncles, and shot and injured his young son in the trailer where they lived. He then shot his two daughters, one fatally, in a car while fleeing from police. The shooter died after a shootout with police in which he also shot himself in the head.",2021-06-02T14:41:58.000Z
12/14/2012,Newtown,CT,41.4135,-73.3088,29,27,2,Yes,No,Yes,No,"A shooter fatally shot his mother in her home and then used her car to drive to a nearby elementary school. He fired into a window next to the school’s security door and entered the school, shooting 28 people and killing 26 of them, including 20 children. Responding police officers found him dead from a self-inflicted gunshot wound.",2021-06-02T14:41:58.000Z
1/7/2013,Tulsa,OK,36.2405,-95.9768,4,4,0,No,Yes,No,No,"During a robbery, two shooters fatally shot four women in an apartment. A 3-year-old boy was in the apartment at the time of the incident but was unharmed.",2021-06-02T14:41:58.000Z
1/19/2013,Albuquerque,NM,34.9791,-106.716,5,5,0,Yes,No,Yes,Yes,A shooter fatally shot his parents and three siblings in their home. The shooter was apprehended by police after speaking with the pastor of a local church and the church’s head of security.,2021-06-02T14:41:58.000Z
3/13/2013,Herkimer,NY,43.011,-75.0058,6,4,2,No,No,No,No,"A shooter fatally shot two people and wounded two people at a barbershop, and then fatally shot two more people at a car service center. He was fatally shot by responding officers.",2021-06-02T14:41:58.000Z
4/18/2013,Akron,OH,41.1102,-81.4771,4,4,0,No,Yes,No,No,Two shooters fatally shot four people inside a townhouse; the initial motive for the crime was robbery.,2021-06-02T14:41:58.000Z
4/21/2013,Federal Way,WA,47.303,-122.31,4,4,0,No,No,Yes,No,"A shooter fatally shot his girlfriend inside the apartment they shared and then fatally shot two men in a nearby parking lot. When a neighbor called 911, the shooter broke down the man’s door with a shotgun and killed him. He was subsequently shot and killed by police.",2021-06-02T14:41:58.000Z
4/24/2013,Manchester,IL,39.5417,-90.3301,6,5,1,No,Yes,Yes,Yes,"A shooter broke into a home and fatally shot the grandmother of his child and four of her family members, including two young children. Another young girl was shot and injured. The shooter was subsequently shot and killed in a firefight with law enforcement.",2021-06-02T14:41:58.000Z
4/28/2013,Ottawa,KS,38.6084,-95.2686,4,4,0,No,Yes,Yes,No,"A shooter raped and fatally shot a woman at a farm in eastern Kansas. He also fatally shot her 18-month-old daughter, and two men who were with her at the farm.",2021-06-02T14:41:58.000Z
5/11/2013,Waynesville,IN,39.1149,-85.8929,4,4,0,No,Yes,No,No,"A shooter fatally shot four people in a home. He had initially gone to the home attempting to trade a gun for drugs. A confrontation ensued, resulting in the shootings.",2021-06-02T14:41:58.000Z
5/13/2013,Fernley,NV,39.608,-119.251,5,5,0,No,Yes,No,Yes,"A shooter fatally shot five people over a three-day spree, in connection with multiple burglaries. The shooter fatally shot an elderly couple in their Fernley, NV home, and proceeded to steal their jewelry and their truck. On his way to California, the shooter fatally shot another man and stole his truck. He then returned to Fernley, where he broke into another home, stole a handgun, and fatally shot and stabbed two of the home’s residents.",2021-06-02T14:41:58.000Z
6/7/2013,Santa Monica,CA,34.026,-118.461,9,5,4,Yes,No,Yes,No,"A shooter fatally shot his father and brother, burned down their house, and shot and wounded a passing driver who tried to intervene. He then carjacked another vehicle and made the driver transport him to Santa Monica College, firing at a city bus and police cruiser along the way, injuring three. Once on the college’s campus, he shot and killed three people outside and fired several rounds at individuals in the library before he was shot and killed by police.",2021-06-02T14:41:58.000Z
7/26/2013,Hialeah,FL,25.864,-80.3122,6,6,0,No,No,No,Yes,"A shooter fatally shot the building manager of his apartment complex, the manager’s wife, a bystander across the street, and three more occupants before police fatally shot him in a standoff.",2021-06-02T14:41:58.000Z
7/26/2013,Clarksburg,WV,39.2832,-80.3488,4,4,0,No,No,No,No,"A shooter fatally shot four people after an argument related to a drug debt. The shooter was trying to collect $10,000 two men owed him for drugs when one of them aimed a handgun at him. The shooter reportedly stripped the man of the weapon and used it to kill both men; he then fatally shot a father-son newspaper delivery team that happened to be outside the house.",2021-06-02T14:41:58.000Z
8/7/2013,Dallas,TX,32.6412,-96.9481,8,4,4,No,No,Yes,Yes,"A shooter shot and killed his ex-girlfriend and her daughter, and injured two others. Then, in a separate shooting, he shot and killed his estranged wife and her daughter, and injured two other children.",2021-06-02T14:41:58.000Z
8/14/2013,Oklahoma City,OK,35.3867,-97.4356,4,4,0,No,No,Yes,No,"A shooter allegedly shot and killed four of his family members, including a 4-month-old infant, in the family’s home.",2021-06-02T14:41:58.000Z
9/11/2013,Crab Orchard,TN,35.9576,-84.8407,4,4,0,No,Yes,No,Yes,The shooters killed a 22-year-old woman and three teenagers while attempting to rob them and steal marijuana. The victims’ bodies were discovered in a parked car.,2021-06-02T14:41:58.000Z
9/16/2013,Washington,DC,38.873,-76.9977,15,12,3,No,No,No,Yes,A shooter fatally shot 12 people and wounded three more in an attack on Building 197 at the Navy Yard. The shooter was a civilian contractor working to update computer systems at military installations. He was fatally shot by a responding police officer.,2021-06-02T14:41:58.000Z
9/22/2013,Rice,TX,32.2337,-96.4661,4,4,0,No,No,Yes,No,"A shooter fatally shot her husband and three children – ages 4, 8, and 10 – before fatally shooting herself. The shooting took place at the family’s home.",2021-06-02T14:41:58.000Z
10/9/2013,Paris,TX,33.6652,-95.5505,4,4,0,No,No,No,Under review,"In a Paris, TX home, an unknown assailant shot and killed four men who ranged in age from 18 to 32.",2021-06-02T14:44:05.000Z
10/26/2013,Phoenix,AZ,33.5042,-112.096,4,4,0,No,No,No,No,"A shooter entered his neighbor’s home and killed all four family members and their two dogs. The shooter then tried to enter another nearby residence, firing twice into the door, but ultimately failed and returned home to fatally shoot himself. Other neighbors and family members pointed to the shooter’s annoyance at the dogs’ barking as a possible motive for the shooting.",2021-06-02T14:41:58.000Z
10/28/2013,Terrell,TX,32.7863,-96.2806,5,5,0,No,Yes,Yes,Yes,"A shooter fatally shot his mother, his aunt, two acquaintances, and a store clerk in a spree of attacks before being captured by police. He killed the first four victims in their respective homes and the final one – the clerk – at Ali’s Market on W. Moore Avenue, apparently in an attempt to rob the store.",2021-06-02T14:41:58.000Z
10/29/2013,Callison,SC,33.9881,-82.2888,5,5,0,No,Yes,Yes,Yes,"A shooter fatally shot the mother of his child, her parents, and her two nephews in their home before fatally shooting himself.",2021-06-02T14:41:58.000Z
11/7/2013,Jacksonville,FL,30.3068,-81.7298,4,4,0,No,No,No,Under review,An unknown assailant fatally shot two sisters and two other men in a home.,2021-06-02T14:44:05.000Z
11/23/2013,Tulsa,OK,36.1771,-95.9403,5,4,1,No,No,No,Under review,"An unknown assailant shot a woman and two married couples, killing four and leaving one male victim in critical condition.",2021-06-02T14:44:05.000Z
12/1/2013,Topeka,KS,39.0379,-95.6905,4,4,0,No,No,No,Under review,"An unknown assailant shot and killed four people – a woman whose body was found behind a strip mall, and her brother, ex-husband, and a female friend, whose bodies were found in her house.",2021-06-02T14:44:05.000Z
1/16/2014,Spanish Fork,UT,40.1109,-111.665,4,4,0,No,No,Yes,Yes,"A shooter, an officer in the Lindon Police Department, fatally shot his wife, their two children, and his mother-in-law inside of their family home before fatally shooting himself.",2021-06-02T14:41:58.000Z
2/3/2014,Cypress,TX,29.973,-95.6542,4,4,0,No,No,No,Under review,"An unknown assailant fatally shot a married couple and their two sons, ages 7 and 9, in their home.",2021-06-02T14:44:05.000Z
2/20/2014,Indianapolis,IN,39.717,-86.1136,4,4,0,No,Yes,No,No,"During an attempt to rob the home of a drug dealer, multiple shooters killed the drug dealer and three others using both a gun stolen from the victim and their own handgun.",2021-06-02T14:41:58.000Z
2/20/2014,Alturas,CA,41.4909,-120.5425,6,4,2,No,No,Yes,Yes,"A shooter fatally shot four people, wounded two others by gunshot, and wounded another with a knife at her eviction hearing at the Cedarville Rancheria Tribal Community Council. Among the fatalities were the shooter’s brother, niece, and nephew.",2021-06-02T14:41:58.000Z
